Instance,NU,NC,Fed,Adult,↓V,Users,BI,BB,UT,Version
[monyet.cc](https://monyet.cc),Yes,Yes,Yes,Yes,Yes,150,0,1,100%,0.18.2
[DRSGME/WhyDRS Lemmy](https://lemmy.whynotdrs.org),Yes,Yes,Yes,Yes,Yes,77,0,0,100%,0.18.2-rc.2
[PornLemmy](https://pornlemmy.com),Yes,Yes,Yes,Yes,Yes,71,2,12,100%,0.18.2-nsfw
